epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.443,2.84532,26.223,1.85478,0.14409,0.06024,0.03795,0.01847,2.12099,17.5515,1.23952,0.00024,0.00024,0.00024
2,14.9128,1.73605,2.77071,1.04094,0.04936,0.50602,0.03655,0.01778,1.54542,58.1831,1.00938,0.0004802,0.0004802,0.0004802
3,19.9774,1.56974,1.41696,0.99392,0.72486,0.62249,0.64944,0.32166,1.42273,2.24713,0.98853,0.000699808,0.000699808,0.000699808
4,24.9817,1.46166,1.18071,0.96948,0.17632,0.56627,0.13761,0.06873,1.45095,10.5415,0.99505,0.000898824,0.000898824,0.000898824
5,29.1644,1.52068,1.12212,0.98145,0.76074,0.63855,0.72147,0.36121,1.43652,1.51852,0.9882,0.00107725,0.00107725,0.00107725
6,32.8836,1.43346,0.97744,0.96502,0.27108,0.58233,0.21321,0.08917,1.76764,3.94592,1.08359,0.00123508,0.00123508,0.00123508
7,36.2213,1.42135,0.96864,0.97237,0.73143,0.62249,0.67088,0.37014,1.38435,1.16593,0.99498,0.00137232,0.00137232,0.00137232
8,39.9211,1.42375,0.87214,0.96382,0.76148,0.73084,0.75178,0.39958,1.37506,0.93429,0.9815,0.0014456,0.0014456,0.0014456
9,43.586,1.33356,0.80539,0.93401,0.74266,0.78313,0.807,0.43376,1.35708,0.89687,0.97647,0.0013664,0.0013664,0.0013664
10,47.205,1.38666,0.81311,0.95068,0.79447,0.79171,0.79184,0.41027,1.33886,0.89537,0.97328,0.0012872,0.0012872,0.0012872
11,51.4247,1.34396,0.82325,0.9286,0.82494,0.77595,0.83668,0.45076,1.33014,0.75646,0.97849,0.001208,0.001208,0.001208
12,55.2984,1.35723,0.78072,0.93722,0.76446,0.76904,0.78818,0.4042,1.33224,0.83742,0.96734,0.0011288,0.0011288,0.0011288
13,59.0931,1.27699,0.77629,0.91465,0.81571,0.7992,0.8502,0.49488,1.26523,0.76911,0.94486,0.0010496,0.0010496,0.0010496
14,62.8918,1.27458,0.74394,0.92067,0.84245,0.77308,0.85195,0.48446,1.26864,0.7351,0.94122,0.0009704,0.0009704,0.0009704
15,66.5928,1.17291,0.73641,0.89697,0.81564,0.83534,0.8683,0.51408,1.22853,0.69497,0.93863,0.0008912,0.0008912,0.0008912
16,75.9291,1.26779,0.72038,0.92722,0.78018,0.81246,0.85016,0.51228,1.23563,0.70479,0.93171,0.000812,0.000812,0.000812
17,79.6775,1.23593,0.71598,0.92141,0.78448,0.84784,0.8726,0.51596,1.24527,0.67967,0.93507,0.0007328,0.0007328,0.0007328
18,83.3696,1.1786,0.68145,0.91438,0.84386,0.82731,0.89016,0.5186,1.21677,0.66945,0.93233,0.0006536,0.0006536,0.0006536
19,87.0615,1.22276,0.69928,0.93917,0.84196,0.83133,0.89124,0.51869,1.22045,0.69141,0.93443,0.0005744,0.0005744,0.0005744
20,90.8216,1.16897,0.67169,0.93245,0.85705,0.84273,0.88422,0.52036,1.18492,0.65492,0.92545,0.0004952,0.0004952,0.0004952
21,94.4938,1.20871,0.65956,0.92518,0.82103,0.8659,0.87608,0.52239,1.17406,0.65453,0.92077,0.000416,0.000416,0.000416
22,98.225,1.13316,0.64152,0.89984,0.87528,0.80723,0.88395,0.53562,1.15676,0.63677,0.91892,0.0003368,0.0003368,0.0003368
23,102.131,1.17737,0.66687,0.90566,0.81314,0.87384,0.8917,0.53645,1.1947,0.6438,0.92219,0.0002576,0.0002576,0.0002576
24,105.893,1.13412,0.63922,0.91481,0.88568,0.85141,0.91579,0.54849,1.15378,0.62063,0.91482,0.0001784,0.0001784,0.0001784
25,109.59,1.10945,0.61881,0.88751,0.87596,0.85082,0.90723,0.55362,1.14051,0.62429,0.91626,9.92e-05,9.92e-05,9.92e-05
