epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2531,1.55604,2.78441,1.32391,0.66825,0.59878,0.6874,0.52458,1.28717,2.06256,1.17225,0.00014443,0.00014443,0.00014443
2,15.2712,1.07542,1.06892,1.04764,0.72475,0.80895,0.82918,0.67832,0.99514,1.29282,1.0164,0.000288091,0.000288091,0.000288091
3,19.7553,0.98343,0.89025,1.00789,0.81233,0.86193,0.88801,0.74464,0.9643,0.95827,0.99996,0.000419434,0.000419434,0.000419434
4,24.1474,0.93928,0.79165,0.98131,0.87986,0.85488,0.90612,0.74751,0.93208,0.81676,0.97216,0.000538457,0.000538457,0.000538457
5,28.5284,0.88137,0.70591,0.95318,0.84679,0.88115,0.92107,0.79459,0.8366,0.69297,0.94076,0.000645162,0.000645162,0.000645162
6,32.9874,0.87088,0.69238,0.95223,0.80809,0.7988,0.85671,0.6967,0.85739,0.7465,0.95132,0.000739548,0.000739548,0.000739548
7,36.952,0.83204,0.6492,0.93259,0.8335,0.87664,0.89133,0.7428,0.88204,0.69196,0.95185,0.000821616,0.000821616,0.000821616
8,40.8873,0.82611,0.644,0.92798,0.85416,0.86004,0.89611,0.77808,0.8045,0.65509,0.92543,0.000803031,0.000803031,0.000803031
9,45.013,0.82829,0.64647,0.93541,0.86675,0.86904,0.91089,0.79874,0.81103,0.60012,0.92985,0.000759035,0.000759035,0.000759035
10,49.6418,0.80222,0.61289,0.92442,0.90147,0.88518,0.92603,0.81967,0.72856,0.56567,0.89773,0.00071504,0.00071504,0.00071504
11,53.9067,0.7649,0.59759,0.92758,0.90428,0.89328,0.93222,0.83432,0.73764,0.54006,0.9014,0.000671044,0.000671044,0.000671044
12,58.2089,0.73278,0.56348,0.90977,0.87744,0.91606,0.93047,0.8345,0.69541,0.53237,0.88807,0.000627048,0.000627048,0.000627048
13,62.5538,0.71028,0.56066,0.90255,0.89122,0.91057,0.93941,0.84211,0.71018,0.53278,0.89898,0.000583053,0.000583053,0.000583053
14,66.9254,0.70293,0.5382,0.90551,0.88201,0.87764,0.93611,0.84324,0.69012,0.53393,0.89049,0.000539057,0.000539057,0.000539057
15,71.3384,0.68918,0.53561,0.89507,0.88075,0.91202,0.93911,0.85391,0.66576,0.51705,0.88338,0.000495062,0.000495062,0.000495062
16,80.1432,0.67989,0.55618,0.89765,0.89178,0.91123,0.93828,0.85338,0.67203,0.52003,0.88149,0.000451066,0.000451066,0.000451066
17,84.5081,0.68082,0.52396,0.89461,0.90454,0.89765,0.93465,0.84596,0.73186,0.5242,0.90259,0.00040707,0.00040707,0.00040707
18,88.6972,0.65563,0.50534,0.89057,0.89116,0.91668,0.93997,0.85443,0.6754,0.50989,0.88781,0.000363075,0.000363075,0.000363075
19,92.9223,0.63171,0.4888,0.88209,0.89615,0.91365,0.94389,0.86444,0.65725,0.495,0.87855,0.000319079,0.000319079,0.000319079
20,97.0974,0.62399,0.4746,0.87787,0.88453,0.91713,0.94297,0.86054,0.66876,0.49231,0.88923,0.000275084,0.000275084,0.000275084
21,100.818,0.60879,0.46692,0.87626,0.88858,0.92004,0.94479,0.86541,0.64904,0.48267,0.87914,0.000231088,0.000231088,0.000231088
22,104.976,0.59719,0.46168,0.86936,0.8834,0.92171,0.94654,0.87085,0.64183,0.47032,0.87794,0.000187092,0.000187092,0.000187092
23,109.109,0.59623,0.45031,0.86528,0.89411,0.91308,0.94547,0.87333,0.62423,0.4633,0.87301,0.000143097,0.000143097,0.000143097
24,113.389,0.59031,0.44508,0.8702,0.91555,0.90119,0.94638,0.87586,0.6056,0.4552,0.86434,9.91012e-05,9.91012e-05,9.91012e-05
25,117.645,0.57754,0.43705,0.8682,0.91447,0.90277,0.94608,0.87806,0.60235,0.45362,0.86375,5.51056e-05,5.51056e-05,5.51056e-05
